Key Question,KLOE,Ref,Checklist Item
Safe,Safe environments and infection prevention and control,SAF-EI-01,Fire safety procedures are effective; Personal Emergency Evacuation Plans are in place and reflect the individual clinical and mobility needs of all residents.
Safe,Safe environments and infection prevention and control,SAF-EI-02,There is a comprehensive system to proactively manage the safety and upkeep of the premises; professionally qualified and competent people complete all required environmental checks and maintenance.
Safe,Safe environments and infection prevention and control,SAF-EI-03,The service manages the control and prevention of infection well; infection prevention and control roles are clear and the risk of infection is minimised because premises and equipment are kept clean and hygienic.
Safe,Safe environments and infection prevention and control,SAF-EI-04,"Equipment, including special or adaptive equipment, is maintained, stored and used in line with good practice and guidance; the service monitors and acts on equipment alerts, recalls and safety information."
Safe,Safe environments and infection prevention and control,SAF-EI-05,The environment and clinical waste arrangements meet current legislation and good practice guidance; the service is kept clean and hygienic to minimise the risk of infection.
Safe,Safe environments and infection prevention and control,SAF-EI-06,"The service monitors and acts on equipment alerts, recalls and safety information in a timely way."
Safe,Safe environments and infection prevention and control,SAF-EI-07,"Digital systems and technology used to deliver care are secure, reliable and appropriate to individual people's needs; data records are available, accurate and confidential."
Safe,Managing risks during care and treatment,SAF-MR-01,"Care plans reflect foreseeable risks including pressure ulcer risk; clinical risks are anticipated and managed to reduce the potential for harm, in line with recognised good practice."
Safe,Managing risks during care and treatment,SAF-MR-02,"Care plans reflect moving and handling risks; care is provided in line with recognised good practice guidance, using appropriate specialist equipment."
Safe,Managing risks during care and treatment,SAF-MR-03,"Falls risk is reflected in care plans; deterioration and emergencies are anticipated and managed to reduce the potential for harm, including prompt post-fall review."
Safe,Managing risks during care and treatment,SAF-MR-04,"Choking and dysphagia risks are identified and care is provided in line with recognised good practice guidance, including appropriate specialist referral, to protect residents from avoidable harm."
Safe,Managing risks during care and treatment,SAF-MR-05,There is a balanced and proportionate approach to risk; people's rights and choices are respected and people are supported to take carefully managed risks to live fulfilling lives.
Safe,Managing risks during care and treatment,SAF-MR-06,"The service has a process to ensure restrictions on people's freedom, choice and control are necessary, proportionate and safe; restraint is only used as a last resort with a clear commitment to minimising restrictive interventions."
Safe,Managing risks during care and treatment,SAF-MR-07,"Clinical deterioration is anticipated and managed using validated assessment tools, with a clear escalation process to reduce the potential for harm."
Safe,Safe medicines and treatments,SAF-MT-01,"Medicines are ordered, administered, recorded, stored and disposed of safely in line with legislation and guidance; medication records are audited regularly for accuracy and gaps."
