service_type,key_question,kloe,ref,checklist_item
Nursing Home,Safe,Safe environments and infection prevention and control,SAF-EI-01,Fire safety procedures are effective; Personal Emergency Evacuation Plans are in place and reflect the individual clinical and mobility needs of all residents.
Nursing Home,Safe,Safe environments and infection prevention and control,SAF-EI-02,There is a comprehensive system to proactively manage the safety and upkeep of the premises; professionally qualified and competent people complete all required environmental checks and maintenance.
Nursing Home,Safe,Safe environments and infection prevention and control,SAF-EI-03,The service manages the control and prevention of infection well; infection prevention and control roles are clear and the risk of infection is minimised because premises and equipment are kept clean and hygienic.
Nursing Home,Safe,Safe environments and infection prevention and control,SAF-EI-04,"Equipment, including special or adaptive equipment, is maintained, stored and used in line with good practice and guidance; the service monitors and acts on equipment alerts, recalls and safety information."
Nursing Home,Safe,Safe environments and infection prevention and control,SAF-EI-05,The environment and clinical waste arrangements meet current legislation and good practice guidance; the service is kept clean and hygienic to minimise the risk of infection.
Nursing Home,Safe,Safe environments and infection prevention and control,SAF-EI-06,"The service monitors and acts on equipment alerts, recalls and safety information in a timely way."
Nursing Home,Safe,Safe environments and infection prevention and control,SAF-EI-07,"Digital systems and technology used to deliver care are secure, reliable and appropriate to individual people's needs; data records are available, accurate and confidential."
Nursing Home,Safe,Managing risks during care and treatment,SAF-MR-01,"Care plans reflect foreseeable risks including pressure ulcer risk; clinical risks are anticipated and managed to reduce the potential for harm, in line with recognised good practice."
Nursing Home,Safe,Managing risks during care and treatment,SAF-MR-02,"Care plans reflect moving and handling risks; care is provided in line with recognised good practice guidance, using appropriate specialist equipment."
Nursing Home,Safe,Managing risks during care and treatment,SAF-MR-03,"Falls risk is reflected in care plans; deterioration and emergencies are anticipated and managed to reduce the potential for harm, including prompt post-fall review."
Nursing Home,Safe,Managing risks during care and treatment,SAF-MR-04,"Choking and dysphagia risks are identified and care is provided in line with recognised good practice guidance, including appropriate specialist referral, to protect residents from avoidable harm."
Nursing Home,Safe,Managing risks during care and treatment,SAF-MR-05,There is a balanced and proportionate approach to risk; people's rights and choices are respected and people are supported to take carefully managed risks to live fulfilling lives.
Nursing Home,Safe,Managing risks during care and treatment,SAF-MR-06,"The service has a process to ensure restrictions on people's freedom, choice and control are necessary, proportionate and safe; restraint is only used as a last resort with a clear commitment to minimising restrictive interventions."
Nursing Home,Safe,Managing risks during care and treatment,SAF-MR-07,"Clinical deterioration is anticipated and managed using validated assessment tools, with a clear escalation process to reduce the potential for harm."
Nursing Home,Safe,Safe medicines and treatments,SAF-MT-01,"Medicines are ordered, administered, recorded, stored and disposed of safely in line with legislation and guidance; medication records are audited regularly for accuracy and gaps."
Nursing Home,Safe,Safe medicines and treatments,SAF-MT-02,"Controlled drugs are stored, recorded, administered and disposed of in line with legislation and guidance, with dual sign-off on all controlled drug transactions."
Nursing Home,Safe,Safe medicines and treatments,SAF-MT-03,"There is a clear approach to the safe use of medicines; roles and responsibilities for advanced administration, including syringe drivers and IV medicines, are understood and staff hold current competency."
Nursing Home,Safe,Safe medicines and treatments,SAF-MT-04,"Medicines are stored safely in line with legislation and guidance, including temperature-controlled storage; storage checks are completed and recorded regularly."
Nursing Home,Safe,Safe medicines and treatments,SAF-MT-05,"The service actively considers opportunities to reduce the over-medication of people, in line with STOMP/STAMP principles where applicable."
Nursing Home,Safe,Safe medicines and treatments,SAF-MT-06,The administration of PRN medicines (medicines taken when required) is guided by clear protocols; protocols are reviewed in a timely way.
Nursing Home,Safe,Safe medicines and treatments,SAF-MT-07,People's capacity and preference for self-medication is assessed and clearly documented in care records; involvement in decisions about medicines is supported.
Nursing Home,Safe,Safe medicines and treatments,SAF-MT-08,"Where covert administration of medicines is used, this is supported in line with the Mental Capacity Act 2005 and clearly documented with a best interests decision."
Nursing Home,Safe,Safety culture,SAF-SC-01,"All incidents are recorded, investigated, and the service looks for safety-related themes and trends to drive improvement."
Nursing Home,Safe,Safety culture,SAF-SC-02,There is a good understanding of the duty of candour; staff are open and transparent with people and those close to them when incidents occur.
Nursing Home,Safe,Safety culture,SAF-SC-03,"Patient safety alerts are consistently reviewed and acted on, and learning from external safety incidents is embedded in the delivery of care."
Nursing Home,Safe,Safety culture,SAF-SC-04,"Complaints, concerns and other feedback about safety are welcomed and prioritised as key sources to identify and manage safety risks."
Nursing Home,Safe,Safety culture,SAF-SC-05,"There is a strong learning culture in which incidents that have caused harm, or could cause harm, are treated as opportunities to improve."
Nursing Home,Safe,Safety culture,SAF-SC-06,"Staff and leaders understand what constitutes a closed culture and the risks to people, including organisational abuse; systems are in place to identify concerns and prevent closed cultures from developing."
Nursing Home,Safe,Safeguarding,SAF-SG-01,"There are effective safeguarding systems, processes and practices, accessible to people, staff and visitors to the service, operating in line with legislation and guidance."
Nursing Home,Safe,Safeguarding,SAF-SG-02,"Safeguarding systems are managed by appropriately trained staff; training is appropriate to role, refreshed at regular intervals, with competency assessed."
Nursing Home,Safe,Safeguarding,SAF-SG-03,Information about people who have suffered harm or are at risk is shared with the local authority in a timely way; staff use appropriate escalation pathways when concerns are not addressed.
Nursing Home,Safe,Safeguarding,SAF-SG-04,People are deprived of their liberty lawfully; any potential deprivation of liberty is recognised promptly and appropriate DoLS authorisation is sought; conditions are regularly reviewed and met.
Nursing Home,Safe,Safeguarding,SAF-SG-05,"People are empowered to develop and maintain safe intimate relationships, where they choose to, in accordance with their rights; staff are trained to support this appropriately."
Nursing Home,Safe,Safeguarding,SAF-SG-06,Online safety is considered and people are supported to understand how they can protect themselves when using the internet or digital devices.
Nursing Home,Safe,"Safe systems, pathways and transitions",SAF-SP-01,"Plans and information for care are established and shared before people move into the service, considering individual needs, circumstances and expected outcomes."
Nursing Home,Safe,"Safe systems, pathways and transitions",SAF-SP-02,Plans and information for care during transitions are established and shared before people move between services to ensure continuity and a smooth process.
Nursing Home,Safe,"Safe systems, pathways and transitions",SAF-SP-03,"Staff work proactively with teams in other services to deliver co-ordinated, timely and person-centred care; actions are appropriately owned and followed up."
Nursing Home,Safe,"Safe systems, pathways and transitions",SAF-SP-04,"Shared systems and processes for safe care, including handover, are managed collaboratively, with proactive risk identification, monitoring and learning."
Nursing Home,Safe,Safe staffing,SAF-SS-01,"There are appropriate staffing levels and skill mix, including registered nurse cover on every shift, to meet people's needs; contingency arrangements are in place for staff absence."
Nursing Home,Safe,Safe staffing,SAF-SS-02,There are processes to support professional revalidation where needed; NMC registration and revalidation dates are verified and tracked for all registered nurses.
Nursing Home,Safe,Safe staffing,SAF-SS-03,"Thorough and safe recruitment practices are in place, including DBS checks and references, ensuring staff and volunteers are suitably experienced, qualified and competent."
Nursing Home,Safe,Safe staffing,SAF-SS-04,There are supervision and appraisal processes to support nursing staff to develop and improve services; competency is assessed to maintain knowledge and skills in line with good practice.
Nursing Home,Safe,Safe staffing,SAF-SS-05,Actions are taken to protect staff from fatigue and leaders understand its impact on the safety of people who use services; working patterns are monitored.
Nursing Home,Safe,Safe staffing,SAF-SS-06,The service has systems for investigating allegations against people in positions of trust; actions are taken to address any risk to people using the service.
Nursing Home,Effective,Assessing needs,EFF-AN-01,"People's needs are comprehensively assessed, reflecting their wishes and physical, mental, emotional, sensory, social and communication needs, including those related to protected equality characteristics."
Nursing Home,Effective,Assessing needs,EFF-AN-02,"Assessments and care plans are regularly reviewed and updated to make sure staff have current information, so that care is meeting people's needs and individual outcomes as expected."
Nursing Home,Effective,Assessing needs,EFF-AN-03,"People's communication needs are assessed and met to maximise the effectiveness of care, support and treatment, in line with the Accessible Information Standard."
