Key Question,KLOE,Sub-service,Ref,Checklist Item
Safe,Safety culture,Residential,SAF-SC-01,"All incidents are recorded, investigated and outcomes are communicated to those involved. If harm has occurred, people are given full details of what happened, why, and what has been learned."
Safe,Safety culture,Nursing,SAF-SC-01,"All incidents are recorded, investigated and outcomes are communicated to those involved. If harm has occurred, people are given full details of what happened, why, and what has been learned."
Safe,Safety culture,Residential,SAF-SC-02,"There is a good understanding of the duty of candour. When an incident has happened, staff are open and transparent with people and those close to them."
Safe,Safety culture,Nursing,SAF-SC-02,"There is a good understanding of the duty of candour. When an incident has happened, staff are open and transparent with people and those close to them."
Safe,Safety culture,Residential,SAF-SC-03,"There is a strong learning culture in which incidents that have caused harm, or could cause harm, are treated as opportunities to improve."
Safe,Safety culture,Nursing,SAF-SC-03,"There is a strong learning culture in which incidents that have caused harm, or could cause harm, are treated as opportunities to improve."
Safe,Safety culture,Residential,SAF-SC-04,"Complaints, concerns and other feedback about safety are welcomed and prioritised as key sources used to identify and manage safety risks before safety incidents happen."
Safe,Safety culture,Nursing,SAF-SC-04,"Complaints, concerns and other feedback about safety are welcomed and prioritised as key sources used to identify and manage safety risks before safety incidents happen."
Safe,Safety culture,Residential,SAF-SC-05,"The service looks for safety-related themes and trends. Patient safety alerts are consistently reviewed and acted on, and learning from external safety incidents is embedded in the delivery of care."
Safe,Safety culture,Nursing,SAF-SC-05,"The service looks for safety-related themes and trends. Patient safety alerts are consistently reviewed and acted on, and learning from external safety incidents is embedded in the delivery of care."
Safe,Safety culture,Residential,SAF-SC-06,"Staff and leaders understand what constitutes a closed culture and the risks to people, including organisational abuse; systems are in place to identify concerns and prevent closed cultures from developing."
Safe,Safety culture,Nursing,SAF-SC-06,"Staff and leaders understand what constitutes a closed culture and the risks to people, including organisational abuse; systems are in place to identify concerns and prevent closed cultures from developing."
Safe,Managing risks during care and treatment,Residential,SAF-MR-01,"People's care plans reflect any foreseeable risks and how they should be managed. Deterioration, emergencies and clinical risks are anticipated where possible and managed to reduce the potential for harm."
Safe,Managing risks during care and treatment,Nursing,SAF-MR-01,"People's care plans reflect any foreseeable risks and how they should be managed. Deterioration, emergencies and clinical risks are anticipated where possible and managed to reduce the potential for harm."
Safe,Managing risks during care and treatment,Residential,SAF-MR-02,People are respected and protected from avoidable harm because care is provided in line with recognised good practice guidance.
Safe,Managing risks during care and treatment,Nursing,SAF-MR-02,People are respected and protected from avoidable harm because care is provided in line with recognised good practice guidance.
Safe,Managing risks during care and treatment,Residential,SAF-MR-03,"Care, support and treatment are discussed with people so they understand the potential risks and side effects. Where appropriate, people and those close to them are actively involved in managing their own risks."
Safe,Managing risks during care and treatment,Nursing,SAF-MR-03,"Care, support and treatment are discussed with people so they understand the potential risks and side effects. Where appropriate, people and those close to them are actively involved in managing their own risks."
Safe,Managing risks during care and treatment,Residential,SAF-MR-04,"The service has a process to ensure that any restrictions on people's freedom, choice and control are necessary, proportionate and safe. This particularly includes where people lack mental capacity."
Safe,Managing risks during care and treatment,Nursing,SAF-MR-04,"The service has a process to ensure that any restrictions on people's freedom, choice and control are necessary, proportionate and safe. This particularly includes where people lack mental capacity."
Safe,Managing risks during care and treatment,Residential,SAF-MR-05,"There is a balanced and proportionate approach to risk; people's rights and choices are respected and people are supported to take carefully managed risks to live fulfilling lives."
